33000 240 1 0
83000 240 1 0
33000 240 1 0
33000 240 1 0
47000 240 1 0
33000 240 1 0
33000 240 1 0
83000 240 1 0
33000 240 1 0
33000 240 1 0
47000 240 1 0
33000 240 1 0
83000 240 1 0
83000 240 1 0
83000 240 1 0
10000 200 1 0
10000 200 1 0
20000 320 1 0
20000 320 1 0
20000 320 1 0
20000 320 1 0
20000 320 1 0
20000 320 1 0
20000 320 1 0
20000 320 1 0
20000 320 1 0
20000 320 1 0
20000 320 1 0
20000 320 1 0
20000 320 1 0
20000 320 1 0
20000 320 1 0
20000 320 1 0
400 10 1 0
400 10 1 0
400 10 1 0
400 10 1 0
20000 100 0 0
20000 100 0 0
20000 100 0 0
20000 100 0 0
100 5 1 0
0 0 0 0
